problem_id,title,difficulty,tags,text
prob-backtracking-sample-hard-backtracking,Sample Hard BACKTRACKING,Hard,Backtracking ByteDance Twitter Meta,"Sample Hard BACKTRACKING Backtracking ByteDance Twitter Meta Given input data, solve this Hard algorithm challenge for backtracking. Hard"
prob-greedy-sample-easy-greedy,Sample Easy GREEDY,Easy,Greedy Algorithms Google,"Sample Easy GREEDY Greedy Algorithms Google Given input data, solve this Easy algorithm challenge for greedy. Easy"
prob-greedy-sample-medium-greedy,Sample Medium GREEDY,Medium,Greedy Algorithms Uber Apple,"Sample Medium GREEDY Greedy Algorithms Uber Apple Given input data, solve this Medium algorithm challenge for greedy. Medium"
prob-greedy-sample-hard-greedy,Sample Hard GREEDY,Hard,Greedy Algorithms Meta Amazon Microsoft,"Sample Hard GREEDY Greedy Algorithms Meta Amazon Microsoft Given input data, solve this Hard algorithm challenge for greedy. Hard"
prob-dp-sample-easy-dp,Sample Easy DP,Easy,Dynamic Programming Apple Airbnb Netflix,"Sample Easy DP Dynamic Programming Apple Airbnb Netflix Given input data, solve this Easy algorithm challenge for dp. Easy"
prob-dp-sample-medium-dp,Sample Medium DP,Medium,Dynamic Programming Adobe,"Sample Medium DP Dynamic Programming Adobe Given input data, solve this Medium algorithm challenge for dp. Medium"
prob-dp-sample-hard-dp,Sample Hard DP,Hard,Dynamic Programming Lyft Microsoft Square,"Sample Hard DP Dynamic Programming Lyft Microsoft Square Given input data, solve this Hard algorithm challenge for dp. Hard"
prob-tries-sample-easy-tries,Sample Easy TRIES,Easy,Tries Apple Salesforce Meta,"Sample Easy TRIES Tries Apple Salesforce Meta Given input data, solve this Easy algorithm challenge for tries. Easy"
prob-tries-sample-medium-tries,Sample Medium TRIES,Medium,Tries PayPal Oracle,"Sample Medium TRIES Tries PayPal Oracle Given input data, solve this Medium algorithm challenge for tries. Medium"
prob-tries-sample-hard-tries,Sample Hard TRIES,Hard,Tries Lyft Cisco,"Sample Hard TRIES Tries Lyft Cisco Given input data, solve this Hard algorithm challenge for tries. Hard"
prob-segmentTrees-sample-easy-segmenttrees,Sample Easy SEGMENTTREES,Easy,Segment Trees Adobe,"Sample Easy SEGMENTTREES Segment Trees Adobe Given input data, solve this Easy algorithm challenge for segmentTrees. Easy"
prob-segmentTrees-sample-medium-segmenttrees,Sample Medium SEGMENTTREES,Medium,Segment Trees Stripe,"Sample Medium SEGMENTTREES Segment Trees Stripe Given input data, solve this Medium algorithm challenge for segmentTrees. Medium"
prob-segmentTrees-sample-hard-segmenttrees,Sample Hard SEGMENTTREES,Hard,Segment Trees Amazon,"Sample Hard SEGMENTTREES Segment Trees Amazon Given input data, solve this Hard algorithm challenge for segmentTrees. Hard"
prob-bitManipulation-sample-easy-bitmanipulation,Sample Easy BITMANIPULATION,Easy,Bit Manipulation PayPal Netflix,"Sample Easy BITMANIPULATION Bit Manipulation PayPal Netflix Given input data, solve this Easy algorithm challenge for bitManipulation. Easy"
prob-bitManipulation-sample-medium-bitmanipulation,Sample Medium BITMANIPULATION,Medium,Bit Manipulation Uber PayPal,"Sample Medium BITMANIPULATION Bit Manipulation Uber PayPal Given input data, solve this Medium algorithm challenge for bitManipulation. Medium"
prob-bitManipulation-sample-hard-bitmanipulation,Sample Hard BITMANIPULATION,Hard,Bit Manipulation ByteDance Goldman Sachs Twitter,"Sample Hard BITMANIPULATION Bit Manipulation ByteDance Goldman Sachs Twitter Given input data, solve this Hard algorithm challenge for bitManipulation. Hard"
prob-slidingWindow-sample-easy-slidingwindow,Sample Easy SLIDINGWINDOW,Easy,Sliding Window ByteDance,"Sample Easy SLIDINGWINDOW Sliding Window ByteDance Given input data, solve this Easy algorithm challenge for slidingWindow. Easy"
prob-slidingWindow-sample-medium-slidingwindow,Sample Medium SLIDINGWINDOW,Medium,Sliding Window Goldman Sachs,"Sample Medium SLIDINGWINDOW Sliding Window Goldman Sachs Given input data, solve this Medium algorithm challenge for slidingWindow. Medium"
prob-slidingWindow-sample-hard-slidingwindow,Sample Hard SLIDINGWINDOW,Hard,Sliding Window Bloomberg Uber,"Sample Hard SLIDINGWINDOW Sliding Window Bloomberg Uber Given input data, solve this Hard algorithm challenge for slidingWindow. Hard"
prob-twoPointers-sample-easy-twopointers,Sample Easy TWOPOINTERS,Easy,Two Pointers Bloomberg Goldman Sachs,"Sample Easy TWOPOINTERS Two Pointers Bloomberg Goldman Sachs Given input data, solve this Easy algorithm challenge for twoPointers. Easy"
prob-twoPointers-sample-medium-twopointers,Sample Medium TWOPOINTERS,Medium,Two Pointers Adobe Netflix Oracle,"Sample Medium TWOPOINTERS Two Pointers Adobe Netflix Oracle Given input data, solve this Medium algorithm challenge for twoPointers. Medium"
prob-twoPointers-sample-hard-twopointers,Sample Hard TWOPOINTERS,Hard,Two Pointers Salesforce PayPal,"Sample Hard TWOPOINTERS Two Pointers Salesforce PayPal Given input data, solve this Hard algorithm challenge for twoPointers. Hard"
prob-advanced-sample-easy-advanced,Sample Easy ADVANCED,Easy,Advanced Interview Problems Netflix Google,"Sample Easy ADVANCED Advanced Interview Problems Netflix Google Given input data, solve this Easy algorithm challenge for advanced. Easy"
prob-advanced-sample-medium-advanced,Sample Medium ADVANCED,Medium,Advanced Interview Problems Atlassian Lyft Goldman Sachs,"Sample Medium ADVANCED Advanced Interview Problems Atlassian Lyft Goldman Sachs Given input data, solve this Medium algorithm challenge for advanced. Medium"
prob-advanced-sample-hard-advanced,Sample Hard ADVANCED,Hard,Advanced Interview Problems Google Apple Stripe,"Sample Hard ADVANCED Advanced Interview Problems Google Apple Stripe Given input data, solve this Hard algorithm challenge for advanced. Hard"
prob-bank-001,Amazon Array Window Balancer 1,Easy,Arrays Amazon Meta Company Wise,"Amazon Array Window Balancer 1 Arrays Amazon Meta Company Wise Amazon placement-style challenge focused on Arrays. You are given a compact assessment input and must apply prefix sums, hashing, and careful index bounds. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-002,Google String Pattern Normalizer 1,Medium,Strings Google Salesforce Company Wise,"Google String Pattern Normalizer 1 Strings Google Salesforce Company Wise Google placement-style challenge focused on Strings. You are given a compact assessment input and must apply frequency tables, two pointers, and case handling. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-003,Microsoft Linked List Pointer Repair 1,Hard,Linked Lists Microsoft Cognizant Company Wise,"Microsoft Linked List Pointer Repair 1 Linked Lists Microsoft Cognizant Company Wise Microsoft placement-style challenge focused on Linked Lists. You are given a compact assessment input and must apply slow-fast pointers and safe node relinking. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-004,Meta Stack Sequence Validator 1,Easy,Stacks Meta Intel Company Wise,"Meta Stack Sequence Validator 1 Stacks Meta Intel Company Wise Meta placement-style challenge focused on Stacks. You are given a compact assessment input and must apply monotonic stacks and bracket-style simulation. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-005,Apple Queue Throughput Scheduler 1,Medium,Queues Apple Zoho Company Wise,"Apple Queue Throughput Scheduler 1 Queues Apple Zoho Company Wise Apple placement-style challenge focused on Queues. You are given a compact assessment input and must apply FIFO windows, deques, and event ordering. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-006,Netflix Hash Map Collision Resolver 1,Hard,Hashing Netflix Adobe Company Wise,"Netflix Hash Map Collision Resolver 1 Hashing Netflix Adobe Company Wise Netflix placement-style challenge focused on Hashing. You are given a compact assessment input and must apply constant-time lookup and duplicate tracking. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-007,Adobe Binary Tree Path Auditor 1,Easy,Trees Adobe Infosys Company Wise,"Adobe Binary Tree Path Auditor 1 Trees Adobe Infosys Company Wise Adobe placement-style challenge focused on Trees. You are given a compact assessment input and must apply DFS traversal, recursion, and path accumulation. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-008,Uber BST Range Inspector 1,Medium,Binary Search Trees Uber Deloitte Company Wise,"Uber BST Range Inspector 1 Binary Search Trees Uber Deloitte Company Wise Uber placement-style challenge focused on Binary Search Trees. You are given a compact assessment input and must apply ordered traversal and lower/upper bounds. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-009,Airbnb Priority Heap Ranker 1,Hard,Heaps Airbnb Swiggy Company Wise,"Airbnb Priority Heap Ranker 1 Heaps Airbnb Swiggy Company Wise Airbnb placement-style challenge focused on Heaps. You are given a compact assessment input and must apply top-k selection and priority queue maintenance. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-010,Stripe Graph Route Planner 1,Easy,Graphs Stripe Microsoft Company Wise,"Stripe Graph Route Planner 1 Graphs Stripe Microsoft Company Wise Stripe placement-style challenge focused on Graphs. You are given a compact assessment input and must apply BFS, DFS, connected components, and cycle checks. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-011,Salesforce Recursive State Explorer 1,Medium,Recursion Salesforce Stripe Company Wise,"Salesforce Recursive State Explorer 1 Recursion Salesforce Stripe Company Wise Salesforce placement-style challenge focused on Recursion. You are given a compact assessment input and must apply base cases and state transition trees. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-012,Oracle Backtracking Choice Builder 1,Hard,Backtracking Oracle Capgemini Company Wise,"Oracle Backtracking Choice Builder 1 Backtracking Oracle Capgemini Company Wise Oracle placement-style challenge focused on Backtracking. You are given a compact assessment input and must apply choose-explore-unchoose search. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-013,TCS Greedy Placement Optimizer 1,Easy,Greedy Algorithms TCS Cisco Company Wise,"TCS Greedy Placement Optimizer 1 Greedy Algorithms TCS Cisco Company Wise TCS placement-style challenge focused on Greedy Algorithms. You are given a compact assessment input and must apply local optimal choices and sorting. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-014,Infosys DP Interview Grid 1,Medium,Dynamic Programming Infosys Razorpay Company Wise,"Infosys DP Interview Grid 1 Dynamic Programming Infosys Razorpay Company Wise Infosys placement-style challenge focused on Dynamic Programming. You are given a compact assessment input and must apply memoization, tabulation, and transitions. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-015,Wipro Trie Prefix Directory 1,Hard,Tries Wipro Netflix Company Wise,"Wipro Trie Prefix Directory 1 Tries Wipro Netflix Company Wise Wipro placement-style challenge focused on Tries. You are given a compact assessment input and must apply prefix trees and character edges. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-016,Accenture Segment Tree Query Engine 1,Easy,Segment Trees Accenture TCS Company Wise,"Accenture Segment Tree Query Engine 1 Segment Trees Accenture TCS Company Wise Accenture placement-style challenge focused on Segment Trees. You are given a compact assessment input and must apply range queries and logarithmic updates. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-017,Capgemini Bitmask Eligibility Filter 1,Medium,Bit Manipulation Capgemini JP Morgan Company Wise,"Capgemini Bitmask Eligibility Filter 1 Bit Manipulation Capgemini JP Morgan Company Wise Capgemini placement-style challenge focused on Bit Manipulation. You are given a compact assessment input and must apply xor, masks, and binary flags. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-018,Cognizant Sliding Window Signal 1,Hard,Sliding Window Cognizant Flipkart Company Wise,"Cognizant Sliding Window Signal 1 Sliding Window Cognizant Flipkart Company Wise Cognizant placement-style challenge focused on Sliding Window. You are given a compact assessment input and must apply expand-shrink window invariants. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-019,Goldman Sachs Two Pointer Interview Sweep 1,Easy,Two Pointers Goldman Sachs Google Company Wise,"Goldman Sachs Two Pointer Interview Sweep 1 Two Pointers Goldman Sachs Google Company Wise Goldman Sachs placement-style challenge focused on Two Pointers. You are given a compact assessment input and must apply sorted scans and converging pointers. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-020,JP Morgan System Constraint Challenge 1,Medium,Advanced Interview Problems JP Morgan Airbnb Company Wise,"JP Morgan System Constraint Challenge 1 Advanced Interview Problems JP Morgan Airbnb Company Wise JP Morgan placement-style challenge focused on Advanced Interview Problems. You are given a compact assessment input and must apply hybrid algorithms and edge-case analysis. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-021,Deloitte Array Window Balancer 2,Hard,Arrays Deloitte Accenture Company Wise,"Deloitte Array Window Balancer 2 Arrays Deloitte Accenture Company Wise Deloitte placement-style challenge focused on Arrays. You are given a compact assessment input and must apply prefix sums, hashing, and careful index bounds. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-022,PayPal String Pattern Normalizer 2,Easy,Strings PayPal Atlassian Company Wise,"PayPal String Pattern Normalizer 2 Strings PayPal Atlassian Company Wise PayPal placement-style challenge focused on Strings. You are given a compact assessment input and must apply frequency tables, two pointers, and case handling. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-023,Atlassian Linked List Pointer Repair 2,Medium,Linked Lists Atlassian PhonePe Company Wise,"Atlassian Linked List Pointer Repair 2 Linked Lists Atlassian PhonePe Company Wise Atlassian placement-style challenge focused on Linked Lists. You are given a compact assessment input and must apply slow-fast pointers and safe node relinking. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-024,Cisco Stack Sequence Validator 2,Hard,Stacks Cisco Apple Company Wise,"Cisco Stack Sequence Validator 2 Stacks Cisco Apple Company Wise Cisco placement-style challenge focused on Stacks. You are given a compact assessment input and must apply monotonic stacks and bracket-style simulation. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-025,Intel Queue Throughput Scheduler 2,Easy,Queues Intel Oracle Company Wise,"Intel Queue Throughput Scheduler 2 Queues Intel Oracle Company Wise Intel placement-style challenge focused on Queues. You are given a compact assessment input and must apply FIFO windows, deques, and event ordering. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-026,NVIDIA Hash Map Collision Resolver 2,Medium,Hashing NVIDIA Goldman Sachs Company Wise,"NVIDIA Hash Map Collision Resolver 2 Hashing NVIDIA Goldman Sachs Company Wise NVIDIA placement-style challenge focused on Hashing. You are given a compact assessment input and must apply constant-time lookup and duplicate tracking. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-027,Flipkart Binary Tree Path Auditor 2,Hard,Trees Flipkart NVIDIA Company Wise,"Flipkart Binary Tree Path Auditor 2 Trees Flipkart NVIDIA Company Wise Flipkart placement-style challenge focused on Trees. You are given a compact assessment input and must apply DFS traversal, recursion, and path accumulation. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-028,Swiggy BST Range Inspector 2,Easy,Binary Search Trees Swiggy Amazon Company Wise,"Swiggy BST Range Inspector 2 Binary Search Trees Swiggy Amazon Company Wise Swiggy placement-style challenge focused on Binary Search Trees. You are given a compact assessment input and must apply ordered traversal and lower/upper bounds. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-029,Zomato Priority Heap Ranker 2,Medium,Heaps Zomato Uber Company Wise,"Zomato Priority Heap Ranker 2 Heaps Zomato Uber Company Wise Zomato placement-style challenge focused on Heaps. You are given a compact assessment input and must apply top-k selection and priority queue maintenance. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-030,PhonePe Graph Route Planner 2,Hard,Graphs PhonePe Wipro Company Wise,"PhonePe Graph Route Planner 2 Graphs PhonePe Wipro Company Wise PhonePe placement-style challenge focused on Graphs. You are given a compact assessment input and must apply BFS, DFS, connected components, and cycle checks. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-031,Razorpay Recursive State Explorer 2,Easy,Recursion Razorpay PayPal Company Wise,"Razorpay Recursive State Explorer 2 Recursion Razorpay PayPal Company Wise Razorpay placement-style challenge focused on Recursion. You are given a compact assessment input and must apply base cases and state transition trees. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-032,Zoho Backtracking Choice Builder 2,Medium,Backtracking Zoho Zomato Company Wise,"Zoho Backtracking Choice Builder 2 Backtracking Zoho Zomato Company Wise Zoho placement-style challenge focused on Backtracking. You are given a compact assessment input and must apply choose-explore-unchoose search. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-033,Amazon Greedy Placement Optimizer 2,Hard,Greedy Algorithms Amazon Meta Company Wise,"Amazon Greedy Placement Optimizer 2 Greedy Algorithms Amazon Meta Company Wise Amazon placement-style challenge focused on Greedy Algorithms. You are given a compact assessment input and must apply local optimal choices and sorting. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-034,Google DP Interview Grid 2,Easy,Dynamic Programming Google Salesforce Company Wise,"Google DP Interview Grid 2 Dynamic Programming Google Salesforce Company Wise Google placement-style challenge focused on Dynamic Programming. You are given a compact assessment input and must apply memoization, tabulation, and transitions. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-035,Microsoft Trie Prefix Directory 2,Medium,Tries Microsoft Cognizant Company Wise,"Microsoft Trie Prefix Directory 2 Tries Microsoft Cognizant Company Wise Microsoft placement-style challenge focused on Tries. You are given a compact assessment input and must apply prefix trees and character edges. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-036,Meta Segment Tree Query Engine 2,Hard,Segment Trees Meta Intel Company Wise,"Meta Segment Tree Query Engine 2 Segment Trees Meta Intel Company Wise Meta placement-style challenge focused on Segment Trees. You are given a compact assessment input and must apply range queries and logarithmic updates. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-037,Apple Bitmask Eligibility Filter 2,Easy,Bit Manipulation Apple Zoho Company Wise,"Apple Bitmask Eligibility Filter 2 Bit Manipulation Apple Zoho Company Wise Apple placement-style challenge focused on Bit Manipulation. You are given a compact assessment input and must apply xor, masks, and binary flags. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-038,Netflix Sliding Window Signal 2,Medium,Sliding Window Netflix Adobe Company Wise,"Netflix Sliding Window Signal 2 Sliding Window Netflix Adobe Company Wise Netflix placement-style challenge focused on Sliding Window. You are given a compact assessment input and must apply expand-shrink window invariants. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-039,Adobe Two Pointer Interview Sweep 2,Hard,Two Pointers Adobe Infosys Company Wise,"Adobe Two Pointer Interview Sweep 2 Two Pointers Adobe Infosys Company Wise Adobe placement-style challenge focused on Two Pointers. You are given a compact assessment input and must apply sorted scans and converging pointers. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-040,Uber System Constraint Challenge 2,Easy,Advanced Interview Problems Uber Deloitte Company Wise,"Uber System Constraint Challenge 2 Advanced Interview Problems Uber Deloitte Company Wise Uber placement-style challenge focused on Advanced Interview Problems. You are given a compact assessment input and must apply hybrid algorithms and edge-case analysis. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-041,Airbnb Array Window Balancer 3,Medium,Arrays Airbnb Swiggy Company Wise,"Airbnb Array Window Balancer 3 Arrays Airbnb Swiggy Company Wise Airbnb placement-style challenge focused on Arrays. You are given a compact assessment input and must apply prefix sums, hashing, and careful index bounds. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-042,Stripe String Pattern Normalizer 3,Hard,Strings Stripe Microsoft Company Wise,"Stripe String Pattern Normalizer 3 Strings Stripe Microsoft Company Wise Stripe placement-style challenge focused on Strings. You are given a compact assessment input and must apply frequency tables, two pointers, and case handling. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-043,Salesforce Linked List Pointer Repair 3,Easy,Linked Lists Salesforce Stripe Company Wise,"Salesforce Linked List Pointer Repair 3 Linked Lists Salesforce Stripe Company Wise Salesforce placement-style challenge focused on Linked Lists. You are given a compact assessment input and must apply slow-fast pointers and safe node relinking. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-044,Oracle Stack Sequence Validator 3,Medium,Stacks Oracle Capgemini Company Wise,"Oracle Stack Sequence Validator 3 Stacks Oracle Capgemini Company Wise Oracle placement-style challenge focused on Stacks. You are given a compact assessment input and must apply monotonic stacks and bracket-style simulation. Explain your approach, handle edge cases, and return the required output exactly. Medium"
prob-bank-045,TCS Queue Throughput Scheduler 3,Hard,Queues TCS Cisco Company Wise,"TCS Queue Throughput Scheduler 3 Queues TCS Cisco Company Wise TCS placement-style challenge focused on Queues. You are given a compact assessment input and must apply FIFO windows, deques, and event ordering. Explain your approach, handle edge cases, and return the required output exactly. Hard"
prob-bank-046,Infosys Hash Map Collision Resolver 3,Easy,Hashing Infosys Razorpay Company Wise,"Infosys Hash Map Collision Resolver 3 Hashing Infosys Razorpay Company Wise Infosys placement-style challenge focused on Hashing. You are given a compact assessment input and must apply constant-time lookup and duplicate tracking. Explain your approach, handle edge cases, and return the required output exactly. Easy"
prob-bank-047,Wipro Binary Tree Path Auditor 3,Medium,Trees Wipro Netflix Company Wise,"Wipro Binary Tree Path Auditor 3 Trees Wipro Netflix Company Wise Wipro placement-style challenge focused on Trees. You are given a compact assessment input and must apply DFS traversal, recursion, and path accumulation. Explain your approach, handle edge cases, and return the required output exactly. Medium"
